record,type,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval,0_qrs_morph0,0_qrs_morph1,0_qrs_morph2,0_qrs_morph3,0_qrs_morph4,1_pre-RR,1_post-RR,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval,1_qrs_morph0,1_qrs_morph1,1_qrs_morph2,1_qrs_morph3,1_qrs_morph4
I01,VEB,102,231,0.176376471,0.256431069,-0.101097641,-0.707524945,-0.101097641,4,3,14,7,-0.101097641,-0.101097641,-0.293285187,-0.487062462,-0.637562851,102,231,0.062879015,0.202171878,0.556317369,0.16270693,0.04689834,21,9,34,4,0.04689834,0.083727896,0.279512269,0.526784946,0.450968769
I01,VEB,99,229,0.009672313,0.202891621,-0.337827597,-0.812391025,-0.337827597,4,4,16,8,-0.337827597,-0.337827597,-0.519493444,-0.685497414,-0.792672593,99,229,0.110833396,-0.311775363,0.638234818,-0.596815033,0.109771586,35,2,65,28,0.109771586,0.277229029,0.638234818,0.112591822,-0.052972688
I01,VEB,107,239,0.304861525,0.285580211,-0.002046457,-0.715299001,-0.002046457,4,3,15,8,-0.002046457,-0.002046457,-0.222977259,-0.447567564,-0.625514333,107,239,0.035282185,0.135588913,0.539990262,0.135108435,0.017241884,21,11,33,1,0.017241884,0.067570773,0.287924879,0.539990262,0.336918578
I01,VEB,98,226,0.144859979,0.384033222,-0.214091246,-0.638428511,-0.214091246,3,4,15,8,-0.214091246,-0.214091246,-0.394174609,-0.394174609,-0.548952497,98,226,0.028587852,0.164882078,0.708528819,0.093500764,-0.004466479,22,6,31,3,-0.004466479,0.095296918,0.39796219,0.708528819,0.41145298
I01,VEB,98,222,-0.038686458,0.346516415,-0.257670284,-0.820441841,-0.257670284,4,3,15,8,-0.257670284,-0.257670284,-0.42881484,-0.608602828,-0.752283941,98,222,0.069921747,-0.295655195,0.590788769,-0.589590333,0.028408366,38,4,56,14,0.028408366,0.135048318,0.570520984,0.219877034,0.060308227
I01,VEB,98,218,0.260487361,0.271969804,-0.101701695,-0.798689053,-0.101701695,4,4,15,7,-0.101701695,-0.101701695,-0.326656617,-0.547558001,-0.717561721,98,218,0.051481441,0.200012086,0.608085177,0.150409439,0.004200646,20,6,29,3,0.004200646,0.096716939,0.397693847,0.608085177,0.359501666
I01,VEB,110,214,0.222722371,0.244845427,-0.229397569,-0.620003983,-0.229397569,3,5,16,8,-0.229397569,-0.229397569,-0.403615819,-0.403615819,-0.546450464,110,214,0.029016788,0.20063841,0.55716635,0.115840943,-0.010742801,22,6,32,4,-0.010742801,0.030609613,0.223413351,0.548843522,0.383732856
I01,VEB,104,220,0.248206211,0.304963928,-0.123743289,-0.684542584,-0.123743289,4,4,15,7,-0.123743289,-0.123743289,-0.333186154,-0.524035564,-0.651393754,104,220,0.055789842,0.223364329,0.631940292,0.181255186,0.024064099,25,5,33,3,0.024064099,0.059699398,0.1590635,0.506241142,0.525995472
I01,VEB,104,221,0.257833501,0.268609277,-0.027654269,-0.645721743,-0.027654269,4,3,14,7,-0.027654269,-0.027654269,-0.223696642,-0.423096816,-0.577601307,104,221,0.034615706,0.196038012,0.609436828,0.141166416,0.028154533,26,3,32,3,0.028154533,0.060433191,0.130665941,0.480646327,0.510582624
I01,VEB,104,227,0.218982485,0.283159328,-0.231005503,-0.837014019,-0.231005503,4,4,15,7,-0.231005503,-0.231005503,-0.463276665,-0.674670717,-0.812052228,104,227,0.018026747,0.160958035,0.625601906,0.132306301,0.012764892,30,3,36,3,0.012764892,0.039675568,0.060242376,0.374774255,0.548849736
I01,VEB,100,237,0.231663097,0.382048042,-0.189306581,-0.666018862,-0.189306581,4,4,15,7,-0.189306581,-0.189306581,-0.391797025,-0.562838035,-0.662149392,100,237,0.015614262,0.113108291,0.562614363,0.112430133,0.012052305,26,3,31,2,0.012052305,0.029112244,0.194586919,0.505269297,0.398454442
I01,VEB,118,215,0.274778135,0.271494348,-0.601866893,-0.665820935,-0.601866893,1,6,14,7,-0.601866893,-0.601866893,-0.601866893,-0.601866893,-0.601866893,118,215,0.060597933,0.165547193,0.649831509,0.160482938,0.038754127,22,5,28,1,0.038754127,0.101740682,0.366595255,0.649831509,0.365737401
I01,VEB,102,230,0.195401136,0.288714822,-0.115295969,-0.683590322,-0.115295969,4,4,15,7,-0.115295969,-0.115295969,-0.306902708,-0.492817546,-0.629926309,102,230,0.041646366,0.166646513,0.619965905,0.127817564,0.039328247,21,2,26,3,0.039328247,0.110783986,0.389399399,0.618999509,0.407154266
I01,VEB,100,245,0.196319092,0.331944436,-0.382084721,-0.778215873,-0.382084721,3,5,15,7,-0.382084721,-0.382084721,-0.583452575,-0.583452575,-0.727360516,100,245,0.012648688,0.150538406,0.654874557,0.117744785,0.005718545,23,5,31,3,0.005718545,0.041373769,0.330330746,0.621464888,0.436160219
I01,VEB,115,232,-0.12190804,0.228353101,0.318262788,-0.586495363,-0.12728846,26,4,37,7,-0.12728846,-0.089836299,-0.037800867,0.143154513,0.286603095,115,232,0.038458599,0.205121908,0.676365916,0.155810166,0.036638537,21,3,27,3,0.036638537,0.105442294,0.374677418,0.655454081,0.492468759
I01,VEB,107,239,0.181790434,0.333975201,-0.093433628,-0.610548368,-0.093433628,4,3,14,7,-0.093433628,-0.093433628,-0.276909326,-0.454378161,-0.577731773,107,239,0.051168048,0.161877061,0.645014373,0.126894449,0.035237244,22,5,30,3,0.035237244,0.094730105,0.360539288,0.645014373,0.392792032
I01,VEB,99,241,0.186770384,0.353963406,-0.216778952,-0.699044594,-0.216778952,4,4,15,7,-0.216778952,-0.216778952,-0.409451181,-0.576916125,-0.681528581,99,241,0.054614436,0.151503843,0.623213968,0.15053063,0.050741575,25,3,29,1,0.050741575,0.07586981,0.314774887,0.61937476,0.344762736
