record,type,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval,0_qrs_morph0,0_qrs_morph1,0_qrs_morph2,0_qrs_morph3,0_qrs_morph4,1_pre-RR,1_post-RR,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval,1_qrs_morph0,1_qrs_morph1,1_qrs_morph2,1_qrs_morph3,1_qrs_morph4
I01,N,155,159,-0.084180683,0.633369772,-0.032040263,-0.032040263,-0.110593766,3,4,13,6,-0.110593766,-0.110593766,-0.110295534,-0.110295534,-0.088995009,155,159,0.113274794,0.17124379,0.234975314,-0.356395021,0.058353436,16,6,28,6,0.058353436,0.079406434,0.17248064,0.234377671,-0.006703058
I01,N,157,161,-0.000554612,0.782663391,-0.069553033,-0.069553033,-0.138955961,2,6,14,6,-0.138955961,-0.138955961,-0.138955961,-0.124054584,-0.124054584,157,161,-0.103589636,0.197351415,0.253342049,-0.326993761,-0.128641647,33,5,44,6,-0.128641647,-0.026085839,0.081767852,0.086363635,0.253342049
I01,N,169,168,-0.161107389,0.531544387,-0.163140626,-0.163140626,-0.253816527,2,5,13,6,-0.253816527,-0.253816527,-0.253816527,-0.230616431,-0.230616431,169,168,0.080228821,0.216197496,0.306435754,-0.325143726,0.068664166,21,2,29,6,0.068664166,0.12968528,0.19783377,0.283693529,0.179276281
I01,N,255,117,0.133917138,-0.105461299,0.54347594,-0.401501275,-0.112972207,16,24,46,6,-0.112972207,-0.044527397,0.28225369,0.54347594,0.18063421,255,117,0.072705402,0.189422974,0.263954761,-0.409420718,0.070979019,16,2,25,7,0.070979019,0.088732887,0.181109494,0.263954761,0.071532531
I01,N,163,104,-0.078261229,0.72876441,-0.010792034,-0.010792034,-0.147622907,3,4,12,5,-0.147622907,-0.147622907,-0.142640419,-0.142640419,-0.10085106,163,104,0.101387512,0.204390108,0.200851546,-0.405156872,0.080373341,14,5,26,7,0.080373341,0.092124587,0.16714045,0.186003383,-0.078443471
I01,N,157,155,-0.013260127,-0.060789422,0.587919074,-0.367663998,-0.065505288,15,5,27,7,-0.065505288,0.098595351,0.483619174,0.525587486,-0.044024698,157,155,0.103467235,0.130001248,0.220361805,-0.363491912,0.092370592,13,2,21,6,0.092370592,0.105342364,0.203388868,0.205237942,-0.074531036
I01,N,155,155,-0.228311123,-0.053158383,0.70354501,-0.452847583,-0.250320975,20,3,29,6,-0.250320975,-0.071806638,0.12402683,0.655362891,0.256043161,155,155,0.060304022,0.1886699,0.238316964,-0.420793503,-0.047862698,32,19,57,6,-0.047862698,0.040568771,0.105347057,0.138169251,0.234781974
I01,N,172,172,-0.045026825,-0.055719599,0.57448902,-0.38316572,-0.133002177,16,6,29,7,-0.133002177,-0.054783763,0.304182248,0.57448902,0.221990949,172,172,0.032938683,0.119322084,0.215264124,-0.359711357,-0.119090483,32,14,52,6,-0.119090483,-0.02540102,0.042877736,0.061529631,0.213025698
I01,N,174,174,-0.066904262,-0.051378617,0.658228788,-0.346417265,-0.11922214,15,5,27,7,-0.11922214,0.001472412,0.427728321,0.658228788,0.138372416,174,174,0.068398847,0.143655932,0.229768163,-0.358511706,0.065968865,16,3,25,6,0.065968865,0.091649104,0.182894065,0.220300368,-0.024379097
I01,N,157,158,0.156457143,-0.006802659,0.895510615,-0.356821921,-0.198247876,28,16,50,6,-0.198247876,-0.07455886,0.233373753,0.575459182,0.799919653,157,158,0.152378022,0.027533364,0.027713902,0.021147821,0.027713902,2,9,13,2,0.027713902,0.027713902,0.027713902,0.021151636,0.021151636
